,index,bowler,innings,runs,deliveries,wickets,bowled,lbw,caught,c_and_b,stumped,bowling_team,match_id
5100,0,CJ McKay,2,29,39,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573023
5101,1,DJ Bravo,1,65,62,1.0,1.0,0.0,0.0,0.0,0.0,West Indies,573023
5102,2,DJG Sammy,1,46,62,3.0,1.0,0.0,2.0,0.0,0.0,West Indies,573023
5103,3,GJ Maxwell,2,63,49,4.0,0.0,0.0,3.0,0.0,1.0,Australia,573023
5104,4,JO Holder,1,51,65,1.0,0.0,0.0,1.0,0.0,0.0,West Indies,573023
5105,5,JP Faulkner,2,39,43,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573023
5106,6,KAJ Roach,1,51,60,1.0,0.0,0.0,1.0,0.0,0.0,West Indies,573023
5107,7,MA Starc,2,28,52,5.0,0.0,4.0,1.0,0.0,0.0,Australia,573023
5108,8,MG Johnson,2,29,57,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573023
5109,9,SP Narine,1,34,60,1.0,0.0,0.0,1.0,0.0,0.0,West Indies,573023
5110,0,CJ McKay,1,8,44,3.0,0.0,0.0,3.0,0.0,0.0,Australia,573022
5111,1,JO Holder,2,17,27,1.0,0.0,0.0,1.0,0.0,0.0,West Indies,573022
5112,2,JP Faulkner,1,12,32,2.0,0.0,0.0,2.0,0.0,0.0,Australia,573022
5113,3,KAJ Roach,2,29,12,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,573022
5114,4,MA Starc,1,20,41,5.0,3.0,0.0,2.0,0.0,0.0,Australia,573022
5115,5,MG Johnson,1,13,32,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573022
5116,6,SP Narine,2,23,19,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,573022
5117,0,AD Mathews,1,44,42,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,573018
5118,1,CJ McKay,2,49,59,2.0,0.0,0.0,2.0,0.0,0.0,Australia,573018
5119,2,GJ Maxwell,2,6,12,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573018
5120,3,HMRKB Herath,1,34,60,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,573018
5121,4,KMDN Kulasekara,1,57,60,1.0,0.0,1.0,0.0,0.0,0.0,Sri Lanka,573018
5122,5,MA Starc,2,44,58,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573018
5123,6,MC Henriques,2,32,60,3.0,2.0,0.0,1.0,0.0,0.0,Australia,573018
5124,7,MG Johnson,2,44,61,2.0,0.0,0.0,2.0,0.0,0.0,Australia,573018
5125,8,NLTC Perera,1,35,37,1.0,0.0,0.0,0.0,1.0,0.0,Sri Lanka,573018
5126,9,SL Malinga,1,48,61,1.0,0.0,0.0,1.0,0.0,0.0,Sri Lanka,573018
5127,10,TM Dilshan,1,22,42,1.0,1.0,0.0,0.0,0.0,0.0,Sri Lanka,573018
5128,11,XJ Doherty,2,21,48,3.0,1.0,0.0,2.0,0.0,0.0,Australia,573018
5129,0,AD Mathews,1,50,60,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,573017
5130,1,CJ McKay,2,12,13,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573017
5131,2,HMRKB Herath,1,37,60,2.0,0.0,1.0,1.0,0.0,0.0,Sri Lanka,573017
5132,3,KMDN Kulasekara,1,29,61,3.0,1.0,1.0,1.0,0.0,0.0,Sri Lanka,573017
5133,4,MA Starc,2,1,8,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573017
5134,5,NLTC Perera,1,64,60,2.0,0.0,1.0,1.0,0.0,0.0,Sri Lanka,573017
5135,6,SL Malinga,1,32,61,2.0,0.0,1.0,1.0,0.0,0.0,Sri Lanka,573017
5136,0,AD Mathews,1,10,24,1.0,0.0,0.0,1.0,0.0,0.0,Sri Lanka,573016
5137,1,CJ McKay,2,31,48,1.0,0.0,0.0,1.0,0.0,0.0,Australia,573016
5138,2,KMDN Kulasekara,1,19,63,5.0,2.0,1.0,2.0,0.0,0.0,Sri Lanka,573016
5139,3,MA Starc,2,22,45,2.0,0.0,0.0,2.0,0.0,0.0,Australia,573016
5140,4,MC Henriques,2,7,12,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573016
5141,5,MG Johnson,2,10,19,3.0,0.0,0.0,3.0,0.0,0.0,Australia,573016
5142,6,NLTC Perera,1,14,18,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,573016
5143,7,RMS Eranga,1,12,16,1.0,0.0,0.0,1.0,0.0,0.0,Sri Lanka,573016
5144,8,SL Malinga,1,14,42,3.0,1.0,0.0,2.0,0.0,0.0,Sri Lanka,573016
5145,0,AD Mathews,1,23,61,2.0,0.0,0.0,2.0,0.0,0.0,Sri Lanka,573015
5146,1,BAW Mendis,1,40,48,1.0,0.0,0.0,1.0,0.0,0.0,Sri Lanka,573015
5147,2,BCJ Cutting,2,41,61,1.0,0.0,0.0,1.0,0.0,0.0,Australia,573015
5148,3,BMAJ Mendis,1,7,12,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,573015
5149,4,CJ McKay,2,43,60,1.0,0.0,0.0,1.0,0.0,0.0,Australia,573015
5150,5,GJ Maxwell,2,18,20,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573015
5151,6,KMDN Kulasekara,1,23,55,1.0,0.0,1.0,0.0,0.0,0.0,Sri Lanka,573015
5152,7,KW Richardson,2,15,36,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573015
5153,8,NLTC Perera,1,39,55,2.0,0.0,0.0,2.0,0.0,0.0,Sri Lanka,573015
5154,9,SL Malinga,1,32,54,3.0,0.0,1.0,2.0,0.0,0.0,Sri Lanka,573015
5155,10,SPD Smith,2,16,24,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573015
5156,11,XJ Doherty,2,34,42,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573015
5157,0,AD Mathews,1,46,48,1.0,0.0,0.0,1.0,0.0,0.0,Sri Lanka,573014
5158,1,BAW Mendis,1,59,63,1.0,0.0,0.0,1.0,0.0,0.0,Sri Lanka,573014
5159,2,BMAJ Mendis,1,33,24,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,573014
5160,3,CJ McKay,2,28,53,4.0,0.0,0.0,4.0,0.0,0.0,Australia,573014
5161,4,DJ Hussey,2,24,30,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573014
5162,5,GJ Maxwell,2,28,24,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573014
5163,6,KMDN Kulasekara,1,53,60,1.0,0.0,0.0,1.0,0.0,0.0,Sri Lanka,573014
5164,7,MA Starc,2,23,38,1.0,0.0,0.0,1.0,0.0,0.0,Australia,573014
5165,8,MG Johnson,2,41,56,2.0,0.0,0.0,2.0,0.0,0.0,Australia,573014
5166,9,NLTC Perera,1,28,24,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,573014
5167,10,SL Malinga,1,59,62,1.0,0.0,0.0,1.0,0.0,0.0,Sri Lanka,573014
5168,11,TM Dilshan,1,17,24,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,573014
5169,12,XJ Doherty,2,41,48,0.0,0.0,0.0,0.0,0.0,0.0,Australia,573014
5170,0,DJ Hussey,2,8,12,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571947
5171,1,Dawlat Zadran,1,53,60,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,571947
5172,2,GJ Maxwell,2,21,30,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571947
5173,3,Gulbadin Naib,1,18,12,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,571947
5174,4,JL Pattinson,2,42,58,3.0,0.0,1.0,2.0,0.0,0.0,Australia,571947
5175,5,Javed Ahmadi,1,16,24,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,571947
5176,6,Karim Sadiq,1,22,36,2.0,2.0,0.0,0.0,0.0,0.0,Afghanistan,571947
5177,7,MA Starc,2,44,57,4.0,3.0,0.0,1.0,0.0,0.0,Australia,571947
5178,8,MG Johnson,2,30,58,2.0,1.0,0.0,1.0,0.0,0.0,Australia,571947
5179,9,MJ Clarke,2,6,12,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571947
5180,10,Mohammad Nabi,1,49,61,2.0,0.0,0.0,1.0,1.0,0.0,Afghanistan,571947
5181,11,Samiullah Shenwari,1,47,61,1.0,0.0,0.0,0.0,0.0,1.0,Afghanistan,571947
5182,12,Shapoor Zadran,1,59,49,2.0,1.0,0.0,1.0,0.0,0.0,Afghanistan,571947
5183,13,XJ Doherty,2,34,47,1.0,0.0,0.0,1.0,0.0,0.0,Australia,571947
5184,0,Abdur Rehman,2,41,54,2.0,1.0,0.0,1.0,0.0,0.0,Pakistan,571147
5185,1,Azhar Ali,2,14,19,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,571147
5186,2,DJ Hussey,1,14,12,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571147
5187,3,DT Christian,1,54,61,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571147
5188,4,GJ Maxwell,1,30,43,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571147
5189,5,JL Pattinson,1,48,62,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571147
5190,6,Junaid Khan,2,42,36,2.0,1.0,0.0,1.0,0.0,0.0,Pakistan,571147
5191,7,MA Starc,1,47,64,4.0,1.0,0.0,3.0,0.0,0.0,Australia,571147
5192,8,MG Johnson,1,30,57,2.0,0.0,0.0,2.0,0.0,0.0,Australia,571147
5193,9,MJ Clarke,1,3,12,1.0,0.0,1.0,0.0,0.0,0.0,Australia,571147
5194,10,Mohammad Hafeez,2,49,60,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,571147
5195,11,Saeed Ajmal,2,35,56,3.0,0.0,0.0,2.0,0.0,1.0,Pakistan,571147
5196,12,Shahid Afridi,2,62,60,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,571147
5197,0,Abdur Rehman,1,54,60,1.0,0.0,0.0,0.0,1.0,0.0,Pakistan,571146
5198,1,Azhar Ali,1,14,12,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,571146
5199,2,DJ Hussey,2,6,12,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571146
5200,3,DT Christian,2,39,49,1.0,0.0,0.0,1.0,0.0,0.0,Australia,571146
5201,4,GJ Maxwell,2,28,31,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571146
5202,5,JL Pattinson,2,44,50,1.0,1.0,0.0,0.0,0.0,0.0,Australia,571146
5203,6,Junaid Khan,1,48,58,3.0,2.0,0.0,1.0,0.0,0.0,Pakistan,571146
5204,7,MA Starc,2,38,52,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571146
5205,8,MEK Hussey,2,6,7,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571146
5206,9,MG Johnson,2,50,55,1.0,0.0,0.0,1.0,0.0,0.0,Australia,571146
5207,10,MJ Clarke,2,12,19,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571146
5208,11,Mohammad Hafeez,1,28,60,1.0,0.0,1.0,0.0,0.0,0.0,Pakistan,571146
5209,12,Saeed Ajmal,1,32,60,4.0,1.0,2.0,0.0,0.0,1.0,Pakistan,571146
5210,13,Sohail Tanvir,1,53,60,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,571146
5211,0,Aizaz Cheema,2,38,44,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,571145
5212,1,Azhar Ali,2,12,18,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,571145
5213,2,DJ Hussey,1,9,12,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571145
5214,3,DT Christian,1,37,48,1.0,1.0,0.0,0.0,0.0,0.0,Australia,571145
5215,4,GJ Maxwell,1,27,24,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571145
5216,5,JL Pattinson,1,16,57,3.0,1.0,0.0,2.0,0.0,0.0,Australia,571145
5217,6,MA Starc,1,41,61,5.0,1.0,0.0,4.0,0.0,0.0,Australia,571145
5218,7,MG Johnson,1,43,54,1.0,0.0,0.0,1.0,0.0,0.0,Australia,571145
5219,8,MJ Clarke,1,8,18,0.0,0.0,0.0,0.0,0.0,0.0,Australia,571145
5220,9,Mohammad Hafeez,2,29,60,2.0,1.0,1.0,0.0,0.0,0.0,Pakistan,571145
5221,10,Saeed Ajmal,2,28,61,3.0,0.0,2.0,1.0,0.0,0.0,Pakistan,571145
5222,11,Shahid Afridi,2,37,60,1.0,0.0,0.0,1.0,0.0,0.0,Pakistan,571145
5223,12,Sohail Tanvir,2,43,52,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,571145
5224,0,AM Ellis,2,35,48,2.0,0.0,0.0,2.0,0.0,0.0,New Zealand,569242
5225,1,CR Woakes,1,32,56,1.0,0.0,1.0,0.0,0.0,0.0,England,569242
5226,2,GP Swann,1,48,54,2.0,0.0,0.0,1.0,1.0,0.0,England,569242
5227,3,JEC Franklin,2,20,24,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,569242
5228,4,JM Anderson,1,31,51,1.0,0.0,0.0,1.0,0.0,0.0,England,569242
5229,5,KD Mills,2,33,46,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,569242
5230,6,KS Williamson,2,9,6,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,569242
5231,7,NL McCullum,2,39,42,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,569242
5232,8,SCJ Broad,1,38,54,2.0,0.0,0.0,2.0,0.0,0.0,England,569242
5233,9,ST Finn,1,25,56,3.0,0.0,0.0,3.0,0.0,0.0,England,569242
5234,10,TG Southee,2,45,63,3.0,0.0,0.0,3.0,0.0,0.0,New Zealand,569242
5235,0,CR Woakes,1,68,60,3.0,2.0,0.0,1.0,0.0,0.0,England,569241
5236,1,GP Swann,1,62,60,0.0,0.0,0.0,0.0,0.0,0.0,England,569241
5237,2,JEC Franklin,2,32,30,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,569241
5238,3,JM Anderson,1,34,59,5.0,0.0,0.0,5.0,0.0,0.0,England,569241
5239,4,KD Mills,2,43,40,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,569241
5240,5,KS Williamson,2,38,49,1.0,0.0,0.0,1.0,0.0,0.0,New Zealand,569241
5241,6,NL McCullum,2,46,60,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,569241
5242,7,SCJ Broad,1,66,57,1.0,0.0,0.0,1.0,0.0,0.0,England,569241
5243,8,ST Finn,1,32,61,1.0,0.0,0.0,1.0,0.0,0.0,England,569241
5244,9,TA Boult,2,53,56,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,569241
5245,10,TG Southee,2,54,54,1.0,0.0,0.0,0.0,1.0,0.0,New Zealand,569241
5246,0,AM Ellis,1,64,63,1.0,0.0,0.0,1.0,0.0,0.0,New Zealand,569240
5247,1,CR Woakes,2,52,60,2.0,0.0,0.0,2.0,0.0,0.0,England,569240
5248,2,GD Elliott,1,6,7,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,569240
5249,3,GP Swann,2,54,60,1.0,0.0,1.0,0.0,0.0,0.0,England,569240
5250,4,JEC Franklin,1,38,39,3.0,1.0,0.0,2.0,0.0,0.0,New Zealand,569240
5251,5,JM Anderson,2,35,55,1.0,1.0,0.0,0.0,0.0,0.0,England,569240
5252,6,KD Mills,1,32,60,2.0,1.0,0.0,1.0,0.0,0.0,New Zealand,569240
5253,7,KS Williamson,1,12,14,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,569240
5254,8,MJ McClenaghan,1,54,60,4.0,1.0,0.0,3.0,0.0,0.0,New Zealand,569240
5255,9,NL McCullum,1,42,60,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,569240
5256,10,SCJ Broad,2,54,61,1.0,0.0,0.0,1.0,0.0,0.0,England,569240
5257,11,ST Finn,2,51,63,1.0,0.0,0.0,1.0,0.0,0.0,England,569240
5258,0,DW Steyn,1,29,64,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,567372
5259,1,F Behardien,1,10,18,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,567372
5260,2,Junaid Khan,2,29,43,1.0,1.0,0.0,0.0,0.0,0.0,Pakistan,567372
5261,3,LL Tsotsobe,1,41,61,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,567372
5262,4,M Morkel,1,27,61,2.0,2.0,0.0,0.0,0.0,0.0,South Africa,567372
5263,5,Mohammad Hafeez,2,23,24,1.0,1.0,0.0,0.0,0.0,0.0,Pakistan,567372
5264,6,Mohammad Irfan,2,37,61,2.0,0.0,0.0,2.0,0.0,0.0,Pakistan,567372
5265,7,R McLaren,1,31,61,3.0,0.0,0.0,3.0,0.0,0.0,South Africa,567372
5266,8,RJ Peterson,1,51,42,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,567372
5267,9,Saeed Ajmal,2,31,63,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567372
5268,10,Shahid Afridi,2,28,36,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567372
5269,11,Wahab Riaz,2,42,44,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567372
5270,0,CA Ingram,2,17,6,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567371
5271,1,DW Steyn,2,26,60,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,567371
5272,2,Junaid Khan,1,44,55,3.0,2.0,0.0,1.0,0.0,0.0,Pakistan,567371
5273,3,LL Tsotsobe,2,49,60,2.0,0.0,0.0,1.0,0.0,0.0,South Africa,567371
5274,4,Mohammad Hafeez,1,40,60,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567371
5275,5,Mohammad Irfan,1,40,56,3.0,2.0,0.0,1.0,0.0,0.0,Pakistan,567371
5276,6,R McLaren,2,34,54,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567371
5277,7,RJ Peterson,2,46,60,2.0,0.0,0.0,2.0,0.0,0.0,South Africa,567371
5278,8,RK Kleinveldt,2,46,65,1.0,1.0,0.0,0.0,0.0,0.0,South Africa,567371
5279,9,Saeed Ajmal,1,41,61,3.0,0.0,1.0,2.0,0.0,0.0,Pakistan,567371
5280,10,Shahid Afridi,1,42,49,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567371
5281,11,Wahab Riaz,1,16,24,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567371
5282,0,DW Steyn,2,48,60,1.0,0.0,0.0,0.0,1.0,0.0,South Africa,567370
5283,1,Junaid Khan,1,41,61,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567370
5284,2,LL Tsotsobe,2,74,60,3.0,0.0,0.0,3.0,0.0,0.0,South Africa,567370
5285,3,Mohammad Hafeez,1,46,38,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567370
5286,4,Mohammad Irfan,1,33,43,2.0,1.0,0.0,1.0,0.0,0.0,Pakistan,567370
5287,5,R McLaren,2,52,58,3.0,0.0,0.0,3.0,0.0,0.0,South Africa,567370
5288,6,RJ Peterson,2,51,60,2.0,1.0,0.0,1.0,0.0,0.0,South Africa,567370
5289,7,RK Kleinveldt,2,73,59,1.0,1.0,0.0,0.0,0.0,0.0,South Africa,567370
5290,8,Saeed Ajmal,1,60,62,1.0,0.0,0.0,1.0,0.0,0.0,Pakistan,567370
5291,9,Shahid Afridi,1,55,42,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567370
5292,10,Wahab Riaz,1,86,67,2.0,0.0,0.0,2.0,0.0,0.0,Pakistan,567370
5293,0,DW Steyn,2,29,54,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,567369
5294,1,Junaid Khan,1,28,37,2.0,1.0,0.0,1.0,0.0,0.0,Pakistan,567369
5295,2,KJ Abbott,2,30,51,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567369
5296,3,LL Tsotsobe,2,37,36,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567369
5297,4,Mohammad Hafeez,1,31,58,2.0,0.0,1.0,1.0,0.0,0.0,Pakistan,567369
5298,5,Mohammad Irfan,1,32,43,4.0,0.0,0.0,3.0,1.0,0.0,Pakistan,567369
5299,6,R McLaren,2,35,50,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,567369
5300,7,RJ Peterson,2,52,48,2.0,1.0,0.0,1.0,0.0,0.0,South Africa,567369
5301,8,Saeed Ajmal,1,21,52,2.0,0.0,0.0,2.0,0.0,0.0,Pakistan,567369
5302,9,Shahid Afridi,1,24,48,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567369
5303,10,Umar Gul,1,36,31,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567369
5304,0,F Behardien,2,9,6,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567368
5305,1,Junaid Khan,1,59,54,1.0,0.0,0.0,1.0,0.0,0.0,Pakistan,567368
5306,2,KJ Abbott,2,35,36,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,567368
5307,3,LL Tsotsobe,2,49,57,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,567368
5308,4,Mohammad Hafeez,1,45,63,1.0,0.0,0.0,1.0,0.0,0.0,Pakistan,567368
5309,5,R McLaren,2,19,42,3.0,0.0,0.0,3.0,0.0,0.0,South Africa,567368
5310,6,RJ Peterson,2,47,48,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567368
5311,7,RK Kleinveldt,2,21,33,4.0,0.0,1.0,2.0,1.0,0.0,South Africa,567368
5312,8,Saeed Ajmal,1,52,61,2.0,0.0,0.0,2.0,0.0,0.0,Pakistan,567368
5313,9,Shahid Afridi,1,59,49,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567368
5314,10,Shoaib Malik,1,21,18,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567368
5315,11,Umar Gul,1,67,61,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,567368
5316,0,AM Phangiso,1,42,49,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567360
5317,1,DW Steyn,1,50,65,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567360
5318,2,F Behardien,1,9,12,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567360
5319,3,GD Elliott,2,14,18,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,567360
5320,4,JDS Neesham,2,20,20,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,567360
5321,5,JEC Franklin,2,38,36,2.0,1.0,0.0,1.0,0.0,0.0,New Zealand,567360
5322,6,KD Mills,2,40,60,2.0,1.0,0.0,1.0,0.0,0.0,New Zealand,567360
5323,7,KS Williamson,2,40,48,2.0,0.0,0.0,1.0,1.0,0.0,New Zealand,567360
5324,8,LL Tsotsobe,1,45,60,4.0,0.0,0.0,4.0,0.0,0.0,South Africa,567360
5325,9,MJ McClenaghan,2,67,63,2.0,1.0,0.0,1.0,0.0,0.0,New Zealand,567360
5326,10,NL McCullum,2,35,60,1.0,0.0,0.0,1.0,0.0,0.0,New Zealand,567360
5327,11,R McLaren,1,50,62,4.0,0.0,1.0,3.0,0.0,0.0,South Africa,567360
5328,12,RK Kleinveldt,1,36,64,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567360
5329,0,F du Plessis,1,19,18,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567359
5330,1,GD Elliott,2,22,25,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,567359
5331,2,JDS Neesham,2,20,19,1.0,1.0,0.0,0.0,0.0,0.0,New Zealand,567359
5332,3,JEC Franklin,2,51,61,1.0,0.0,0.0,1.0,0.0,0.0,New Zealand,567359
5333,4,KD Mills,2,28,54,2.0,1.0,0.0,1.0,0.0,0.0,New Zealand,567359
5334,5,KS Williamson,2,22,18,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,567359
5335,6,LL Tsotsobe,1,37,61,2.0,1.0,0.0,1.0,0.0,0.0,South Africa,567359
5336,7,M Morkel,1,70,61,3.0,1.0,1.0,1.0,0.0,0.0,South Africa,567359
5337,8,MJ McClenaghan,2,49,62,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,567359
5338,9,NL McCullum,2,55,61,1.0,0.0,0.0,1.0,0.0,0.0,New Zealand,567359
5339,10,R McLaren,1,55,50,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567359
5340,11,RJ Peterson,1,45,54,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567359
5341,12,RK Kleinveldt,1,44,61,2.0,0.0,0.0,2.0,0.0,0.0,South Africa,567359
5342,0,DW Steyn,2,31,62,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567358
5343,1,GD Elliott,1,4,6,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,567358
5344,2,JDS Neesham,1,19,27,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,567358
5345,3,JEC Franklin,1,41,62,1.0,0.0,0.0,1.0,0.0,0.0,New Zealand,567358
5346,4,KD Mills,1,52,51,1.0,0.0,1.0,0.0,0.0,0.0,New Zealand,567358
5347,5,KS Williamson,1,22,44,4.0,0.0,0.0,4.0,0.0,0.0,New Zealand,567358
5348,6,LL Tsotsobe,2,43,48,2.0,0.0,0.0,2.0,0.0,0.0,South Africa,567358
5349,7,MJ McClenaghan,1,18,62,4.0,1.0,3.0,0.0,0.0,0.0,New Zealand,567358
5350,8,NL McCullum,1,34,36,0.0,0.0,0.0,0.0,0.0,0.0,New Zealand,567358
5351,9,R McLaren,2,41,57,4.0,2.0,2.0,0.0,0.0,0.0,South Africa,567358
5352,10,RJ Peterson,2,37,60,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,567358
5353,11,RK Kleinveldt,2,26,64,2.0,0.0,1.0,1.0,0.0,0.0,South Africa,567358
5354,0,B Kumar,2,19,18,0.0,0.0,0.0,0.0,0.0,0.0,India,566948
5355,1,I Sharma,2,34,26,2.0,0.0,0.0,2.0,0.0,0.0,India,566948
5356,2,JC Tredwell,1,25,24,1.0,0.0,0.0,1.0,0.0,0.0,England,566948
5357,3,JM Anderson,1,24,24,1.0,0.0,0.0,1.0,0.0,0.0,England,566948
5358,4,R Ashwin,2,13,26,2.0,0.0,0.0,1.0,0.0,1.0,India,566948
5359,5,RA Jadeja,2,24,24,2.0,1.0,0.0,0.0,0.0,1.0,India,566948
5360,6,RS Bopara,1,19,25,3.0,0.0,0.0,3.0,0.0,0.0,England,566948
5361,7,SCJ Broad,1,26,24,1.0,1.0,0.0,0.0,0.0,0.0,England,566948
5362,8,SK Raina,2,19,18,0.0,0.0,0.0,0.0,0.0,0.0,India,566948
5363,9,TT Bresnan,1,31,27,0.0,0.0,0.0,0.0,0.0,0.0,England,566948
5364,10,UT Yadav,2,10,12,1.0,0.0,0.0,1.0,0.0,0.0,India,566948
5365,0,AD Mathews,2,10,24,1.0,1.0,0.0,0.0,0.0,0.0,Sri Lanka,566947
5366,1,B Kumar,1,18,54,1.0,0.0,0.0,1.0,0.0,0.0,India,566947
5367,2,BMAJ Mendis,2,28,18,1.0,0.0,0.0,0.0,0.0,1.0,Sri Lanka,566947
5368,3,HMRKB Herath,2,13,25,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,566947
5369,4,I Sharma,1,31,56,3.0,0.0,0.0,3.0,0.0,0.0,India,566947
5370,5,KMDN Kulasekara,2,41,63,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,566947
5371,6,MS Dhoni,1,16,25,0.0,0.0,0.0,0.0,0.0,0.0,India,566947
