,index,bowler,innings,runs,deliveries,wickets,bowled,lbw,caught,c_and_b,stumped,bowling_team,match_id
334,2,JO Holder,1,49,62,2.0,0.0,0.0,2.0,0.0,0.0,West Indies,932867
335,3,JR Hazlewood,2,50,58,5.0,2.0,0.0,3.0,0.0,0.0,Australia,932867
336,4,KA Pollard,1,32,31,1.0,0.0,0.0,1.0,0.0,0.0,West Indies,932867
337,5,MA Starc,2,29,51,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932867
338,6,MR Marsh,2,30,62,3.0,0.0,1.0,2.0,0.0,0.0,Australia,932867
339,7,NM Coulter-Nile,2,42,51,1.0,0.0,0.0,1.0,0.0,0.0,Australia,932867
340,8,SJ Benn,1,37,61,1.0,1.0,0.0,0.0,0.0,0.0,West Indies,932867
341,9,SP Narine,1,52,63,1.0,0.0,0.0,0.0,0.0,1.0,West Indies,932867
342,10,ST Gabriel,1,57,43,2.0,0.0,1.0,1.0,0.0,0.0,West Indies,932867
343,0,ADS Fletcher,2,9,6,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932865
344,1,CH Morris,1,60,63,3.0,0.0,0.0,3.0,0.0,0.0,South Africa,932865
345,2,CR Brathwaite,2,39,60,2.0,0.0,0.0,2.0,0.0,0.0,West Indies,932865
346,3,Imran Tahir,1,38,62,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,932865
347,4,JO Holder,2,31,62,1.0,0.0,0.0,1.0,0.0,0.0,West Indies,932865
348,5,JP Duminy,1,13,8,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,932865
349,6,K Rabada,1,28,63,3.0,2.0,0.0,1.0,0.0,0.0,South Africa,932865
350,7,M Morkel,1,61,61,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,932865
351,8,SJ Benn,2,50,61,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932865
352,9,SP Narine,2,27,61,3.0,0.0,1.0,2.0,0.0,0.0,West Indies,932865
353,10,ST Gabriel,2,16,31,3.0,0.0,1.0,2.0,0.0,0.0,West Indies,932865
354,11,WD Parnell,1,61,61,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,932865
355,0,ADS Fletcher,2,13,18,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932863
356,1,AJ Finch,1,16,18,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932863
357,2,CR Brathwaite,2,62,54,1.0,0.0,0.0,1.0,0.0,0.0,West Indies,932863
358,3,GJ Maxwell,1,8,14,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932863
359,4,JO Holder,2,20,12,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932863
360,5,JP Faulkner,1,56,60,2.0,0.0,0.0,2.0,0.0,0.0,Australia,932863
361,6,JR Hazlewood,1,40,60,1.0,0.0,0.0,1.0,0.0,0.0,Australia,932863
362,7,KA Pollard,2,39,37,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932863
363,8,MA Starc,1,48,63,3.0,1.0,0.0,2.0,0.0,0.0,Australia,932863
364,9,MR Marsh,1,35,31,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932863
365,10,SJ Benn,2,47,60,1.0,0.0,0.0,1.0,0.0,0.0,West Indies,932863
366,11,SM Boland,1,66,63,2.0,1.0,0.0,1.0,0.0,0.0,Australia,932863
367,12,SP Narine,2,46,63,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932863
368,13,ST Gabriel,2,43,54,1.0,0.0,0.0,1.0,0.0,0.0,West Indies,932863
369,0,MA Starc,1,5,9,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932861
370,0,CH Morris,2,25,43,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,932859
371,1,CR Brathwaite,1,69,60,1.0,0.0,0.0,1.0,0.0,0.0,West Indies,932859
372,2,Imran Tahir,2,45,54,7.0,2.0,1.0,4.0,0.0,0.0,South Africa,932859
373,3,JE Taylor,1,69,51,1.0,1.0,0.0,0.0,0.0,0.0,West Indies,932859
374,4,JO Holder,1,51,36,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932859
375,5,K Rabada,2,44,44,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,932859
376,6,KA Pollard,1,61,57,2.0,0.0,0.0,2.0,0.0,0.0,West Indies,932859
377,7,SJ Benn,1,35,42,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932859
378,8,SP Narine,1,46,60,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932859
379,9,T Shamsi,2,34,57,2.0,0.0,0.0,2.0,0.0,0.0,South Africa,932859
380,10,WD Parnell,2,41,38,1.0,1.0,0.0,0.0,0.0,0.0,South Africa,932859
381,0,A Zampa,2,60,42,2.0,0.0,1.0,1.0,0.0,0.0,Australia,932857
382,1,CR Brathwaite,1,60,60,2.0,0.0,0.0,1.0,1.0,0.0,West Indies,932857
383,2,JE Taylor,1,31,30,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932857
384,3,JO Holder,1,43,61,2.0,1.0,0.0,1.0,0.0,0.0,West Indies,932857
385,4,JP Faulkner,2,31,36,1.0,0.0,0.0,1.0,0.0,0.0,Australia,932857
386,5,JR Hazlewood,2,46,54,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932857
387,6,KA Pollard,1,30,38,2.0,0.0,0.0,2.0,0.0,0.0,West Indies,932857
388,7,MR Marsh,2,30,48,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932857
389,8,NM Coulter-Nile,2,59,62,2.0,1.0,0.0,1.0,0.0,0.0,Australia,932857
390,9,SJ Benn,1,46,56,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932857
391,10,SP Narine,1,44,60,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932857
392,11,TM Head,2,28,37,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932857
393,0,A Zampa,2,52,60,3.0,0.0,1.0,2.0,0.0,0.0,Australia,932855
