,index,batsman,innings,runs,balls_faced,zeros,ones,twos,threes,fours,fives,sixes,dismissal_type,strike_batsman_x,offstrike_batsman,bowler,out,batting_pos,strike_batsman_y,batting_team,match_id
5483,8,Sohail Khan,1,6,8,3,4,1,0,0,0,0,,,,,False,9,Sohail Khan,Pakistan,656443
5484,9,CJ Chibhabha,2,9,18,15,1,0,0,2,0,0,caught,CJ Chibhabha,Sikandar Raza,Mohammad Irfan,True,1,CJ Chibhabha,Zimbabwe,656443
5485,10,Sikandar Raza,2,8,16,12,0,4,0,0,0,0,caught,Sikandar Raza,H Masakadza,Mohammad Irfan,True,2,Sikandar Raza,Zimbabwe,656443
5486,11,H Masakadza,2,29,55,40,9,2,0,4,0,0,caught,H Masakadza,BRM Taylor,Mohammad Irfan,True,3,H Masakadza,Zimbabwe,656443
5487,12,BRM Taylor,2,50,76,51,14,3,2,6,0,0,caught,BRM Taylor,SC Williams,Wahab Riaz,True,4,BRM Taylor,Zimbabwe,656443
5488,13,SC Williams,2,33,33,15,10,4,1,3,0,0,caught,SC Williams,CR Ervine,Rahat Ali,True,5,SC Williams,Zimbabwe,656443
5489,14,CR Ervine,2,14,29,18,10,0,0,1,0,0,caught,CR Ervine,E Chigumbura,Wahab Riaz,True,6,CR Ervine,Zimbabwe,656443
5490,15,SF Mire,2,8,15,10,3,1,1,0,0,0,caught,SF Mire,CR Ervine,Mohammad Irfan,True,7,SF Mire,Zimbabwe,656443
5491,16,E Chigumbura,2,35,35,17,10,3,1,4,0,0,caught,E Chigumbura,TL Chatara,Wahab Riaz,True,8,E Chigumbura,Zimbabwe,656443
5492,17,T Mupariwa,2,0,2,2,0,0,0,0,0,0,caught,T Mupariwa,E Chigumbura,Wahab Riaz,True,9,T Mupariwa,Zimbabwe,656443
5493,18,T Panyangara,2,10,29,20,8,1,0,0,0,0,run out,T Panyangara,E Chigumbura,,True,10,T Panyangara,Zimbabwe,656443
5494,0,MM Ali,1,15,27,21,3,0,0,3,0,0,caught,MM Ali,IR Bell,AD Mathews,True,1,MM Ali,England,656441
5495,1,IR Bell,1,49,56,30,17,2,0,7,0,0,bowled,IR Bell,JE Root,RAS Lakmal,True,2,IR Bell,England,656441
5496,2,GS Ballance,1,6,14,11,2,0,0,1,0,0,caught and bowled,GS Ballance,IR Bell,TM Dilshan,True,3,GS Ballance,England,656441
5497,3,JE Root,1,121,109,46,41,6,0,14,0,2,lbw,JE Root,JC Buttler,HMRKB Herath,True,4,JE Root,England,656441
5498,4,EJG Morgan,1,27,47,32,11,1,0,2,0,1,caught,EJG Morgan,JE Root,NLTC Perera,True,5,EJG Morgan,England,656441
5499,5,JWA Taylor,1,25,27,11,13,1,0,1,0,1,caught,JWA Taylor,JE Root,SL Malinga,True,6,JWA Taylor,England,656441
5500,6,JC Buttler,1,39,19,4,7,1,0,6,0,1,,,,,False,7,JC Buttler,England,656441
5501,7,CR Woakes,1,9,8,2,5,0,0,1,0,0,,,,,False,8,CR Woakes,England,656441
5502,8,HDRL Thirimanne,2,139,144,63,57,9,0,13,0,2,,,,,False,1,HDRL Thirimanne,Sri Lanka,656441
5503,9,TM Dilshan,2,44,55,34,14,1,0,4,0,2,caught,TM Dilshan,HDRL Thirimanne,MM Ali,True,2,TM Dilshan,Sri Lanka,656441
