,match_id,home_team,away_team,gender,season,competition,match_number,venue,city,toss_winner,toss_decision,umpire,umpire_2,reserve_umpire,match_referee,winner,winner_wickets,start_date,end_date,winner_runs,series,player_of_match,tv_umpire,neutralvenue,outcome,method,player_of_match_2,reserve_umpire_2,eliminator,match_number_2
1148,247503,Australia,New Zealand,male,2006/07,ICC World Cup,47,"National Cricket Stadium, St George's",Grenada,Australia,bat,Aleem Dar,Asad Rauf,DJ Harper,MJ Procter,Australia,,2007/04/20,2007/04/20,215,,ML Hayden,BR Doctrove,true,,,,,,
1149,247502,West Indies,Bangladesh,male,2006/07,ICC World Cup,46,"Kensington Oval, Bridgetown",Barbados,Bangladesh,field,BF Bowden,RE Koertzen,SA Bucknor,JJ Crowe,West Indies,,2007/04/19,2007/04/19,99,,RR Sarwan,SJA Taufel,,,,,,,
1150,247501,Ireland,Sri Lanka,male,2006/07,ICC World Cup,45,"National Cricket Stadium, St George's",Grenada,Sri Lanka,field,MR Benson,BR Doctrove,Aleem Dar,BC Broad,Sri Lanka,8,2007/04/18,2007/04/18,,,MF Maharoof,DJ Harper,true,,,,,,
1151,247500,England,South Africa,male,2006/07,ICC World Cup,44,"Kensington Oval, Bridgetown",Barbados,England,bat,SA Bucknor,SJA Taufel,RE Koertzen,RS Madugalle,South Africa,9,2007/04/17,2007/04/17,,,AJ Hall,BF Bowden,true,,,,,,
1152,247499,Australia,Sri Lanka,male,2006/07,ICC World Cup,43,"National Cricket Stadium, St George's",Grenada,Sri Lanka,bat,Aleem Dar,BR Doctrove,DJ Harper,MJ Procter,Australia,7,2007/04/16,2007/04/16,,,NW Bracken,MR Benson,true,,,,,,
1153,247498,Bangladesh,Ireland,male,2006/07,ICC World Cup,42,"Kensington Oval, Bridgetown",Barbados,Ireland,bat,BF Bowden,SA Bucknor,RE Koertzen,JJ Crowe,Ireland,,2007/04/15,2007/04/15,74,,WTS Porterfield,SJA Taufel,true,,,,,,
1154,247497,New Zealand,South Africa,male,2006/07,ICC World Cup,41,"National Cricket Stadium, St George's",Grenada,New Zealand,field,MR Benson,DJ Harper,Asad Rauf,BC Broad,New Zealand,5,2007/04/14,2007/04/14,,,CD McMillan,BR Doctrove,true,,,,,,
1155,247496,Australia,Ireland,male,2006/07,ICC World Cup,40,"Kensington Oval, Bridgetown",Barbados,Australia,field,BF Bowden,RE Koertzen,SJA Taufel,RS Madugalle,Australia,9,2007/04/13,2007/04/13,,,GD McGrath,SA Bucknor,true,,,,,,
1156,247495,New Zealand,Sri Lanka,male,2006/07,ICC World Cup,39,"National Cricket Stadium, St George's",Grenada,New Zealand,bat,Asad Rauf,BR Doctrove,MR Benson,MJ Procter,Sri Lanka,6,2007/04/12,2007/04/12,,,WPUJC Vaas,Aleem Dar,true,,,,,,
1157,247494,Bangladesh,England,male,2006/07,ICC World Cup,38,"Kensington Oval, Bridgetown",Barbados,England,field,SA Bucknor,SJA Taufel,BF Bowden,JJ Crowe,England,4,2007/04/11,2007/04/11,,,SI Mahmood,RE Koertzen,true,,,,,,
1158,247493,West Indies,South Africa,male,2006/07,ICC World Cup,37,"National Cricket Stadium, St George's",Grenada,West Indies,field,MR Benson,DJ Harper,Asad Rauf,BC Broad,South Africa,,2007/04/10,2007/04/10,67,,AB de Villiers,Aleem Dar,,,,,,,
1159,247492,Ireland,New Zealand,male,2006/07,ICC World Cup,36,Providence Stadium,Guyana,New Zealand,bat,SA Bucknor,SJA Taufel,GE Greaves,RS Madugalle,New Zealand,,2007/04/09,2007/04/09,129,,PG Fulton,BR Doctrove,true,,,,,,
1160,247491,Australia,England,male,2006/07,ICC World Cup,35,"Sir Vivian Richards Stadium, North Sound",Antigua,England,bat,BF Bowden,RE Koertzen,NA Malcolm,MJ Procter,Australia,7,2007/04/08,2007/04/08,,,SW Tait,Asad Rauf,true,,,,,,
